Frame N BAPnP_Time EPnP_Time EPnPLM_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R EPnPLM_R SQPnP_R CPnP_R BAPnP_t EPnP_t EPnPLM_t SQPnP_t CPnP_t
95 733 0.308953 0.2918 2.29559 0.105197 0.44198 0.655795 0.746155 0.655628 0.620253 0.644621 0.0087944 0.0104558 0.00878898 0.00837602 0.00858657
96 783 0.152905 0.253333 2.08985 0.105581 0.601751 0.58971 0.598223 0.589662 0.593988 0.589429 0.00697433 0.00670589 0.00697247 0.00603996 0.00694858
97 417 0.115603 0.166649 1.07712 0.088441 0.242082 2.71808 2.38462 2.71754 1.47104 2.66614 0.0777791 0.0826725 0.0777763 0.0436085 0.0689795
98 467 0.10892 0.165925 1.0209 0.074957 0.225312 1.09886 1.02873 1.09881 1.35833 1.03917 0.0277855 0.0254897 0.0277777 0.0247815 0.0224448
99 682 0.130922 0.256641 1.94077 0.093435 0.381454 0.686056 0.782345 0.685988 0.724709 0.683822 0.00719338 0.0129914 0.00719669 0.00792967 0.00705686
100 832 0.157261 0.282436 2.16412 0.106505 0.466873 0.612264 0.644951 0.612249 0.652169 0.611764 0.00866819 0.00649959 0.00866621 0.0086029 0.00866003
101 607 0.21015 0.24759 2.33474 0.266441 0.70331 0.76675 0.926103 0.766711 2.05834 1.21016 0.0235704 0.0336518 0.0235736 0.0529664 0.0295061
102 602 0.144781 0.210688 1.67497 0.134688 0.60041 1.69452 1.85848 1.69466 1.90496 1.60607 0.030936 0.038184 0.0309383 0.0368157 0.0366765
103 458 0.132746 0.177664 1.55451 0.137939 0.532398 0.845916 1.03953 0.846593 4.70615 nan 0.0500736 0.0501361 0.0500789 0.117079 -nan
104 651 0.156241 0.29911 2.00721 0.1005 0.381342 1.02035 0.889327 1.0205 0.990502 1.01593 0.0178056 0.0160292 0.0178029 0.0356219 0.0152399
105 648 0.241267 0.216196 2.17368 0.104322 0.484118 1.70043 1.78491 1.70008 2.05369 1.72194 0.0347511 0.0355954 0.0347517 0.0467373 0.0356505
106 717 0.14014 0.238352 2.04095 0.099304 0.409653 1.87104 1.52059 1.87115 1.85544 1.86366 0.0486358 0.037252 0.048641 0.0470816 0.0486778
107 423 0.099636 0.155353 0.998977 0.121647 0.206046 2.00611 6.49797 2.00711 4.9134 1.3908 0.0619662 0.16563 0.0619795 0.110588 0.186001
108 358 0.098239 0.137067 1.01005 0.136664 0.177057 89.1831 5.61027 1.76706 4.05743 nan 1.03972 0.159719 0.0602319 0.10887 -nan
109 504 0.116823 0.174156 1.44492 0.092428 0.258796 3.95128 3.04621 3.95231 3.11808 3.82278 0.0841717 0.0741786 0.0841924 0.0797766 0.0826054
110 646 0.148844 0.21152 2.06151 0.114925 0.413391 2.46047 1.15434 2.46153 2.34923 3.20894 0.053509 0.0370111 0.0535232 0.0401559 0.0297186
111 725 0.37549 0.61146 3.25865 0.106771 0.484811 1.99705 1.59143 1.99721 1.2859 2.08064 0.0322399 0.0289646 0.0322413 0.0206626 0.0262677
112 776 0.179013 0.250723 2.34261 0.118318 0.432742 0.824843 1.17628 0.825021 0.981014 0.99726 0.0267109 0.0204154 0.0267148 0.0363479 0.0503907
113 669 0.180147 0.217937 1.37877 0.135318 0.390315 35.6723 3.34916 3.52619 2.05859 3.28561 0.755756 0.0613351 0.0648211 0.0677936 0.0733762
114 523 0.121236 0.181404 1.29095 0.189964 0.317954 2.97567 5.12242 2.97589 3.88079 15.2395 0.0564117 0.101517 0.0564182 0.0802615 1.9232
115 439 0.120144 0.159037 1.16164 0.095671 0.326838 2.34384 5.91206 2.34967 3.32682 2.6869 0.0383176 0.0987622 0.0385594 0.0327012 0.0165947
116 260 0.074635 0.115814 1.19033 0.19496 0.147267 61.4052 10.6385 9.85477 14.9239 nan 0.818257 0.218398 0.159571 0.249345 -nan
117 738 0.175856 0.377096 2.52972 0.126563 0.442601 1.07157 1.68874 1.07162 1.95896 2.99155 0.0355793 0.0458953 0.0355691 0.0597535 0.13934
118 531 0.146968 0.186471 1.26287 0.154147 0.327868 0.224456 1.90809 0.164381 1.89618 13.9267 0.0328556 0.0419799 0.0348967 0.062252 1.58128
119 207 0.060461 0.098572 0.684223 0.145241 0.11832 10.2904 5.56939 10.3006 10.4273 9.3107 0.240046 0.140651 0.240185 0.267391 0.204079
120 526 0.142087 0.182368 1.26614 0.212627 0.389215 3.16871 3.00277 3.17008 4.69211 nan 0.0308209 0.0658732 0.0308243 0.14422 -nan
121 324 0.089723 0.129099 0.793284 0.09905 0.165352 2.14654 1.54939 2.14664 2.11898 2.05201 0.0685057 0.0613397 0.0685056 0.0498052 0.0945888
122 692 0.544249 0.382123 2.24577 0.099864 0.402279 1.47387 1.28624 1.4737 0.701124 1.51983 0.022501 0.0171214 0.0225002 0.0225058 0.0216948
123 779 0.227329 0.257517 2.65482 0.11779 0.461403 0.644547 0.682805 0.644161 0.873749 1.34564 0.00715561 0.00872944 0.0071552 0.0390915 0.0362772
124 907 0.210964 0.316371 2.84476 0.118098 0.516106 1.69982 2.01025 1.69961 2.18415 1.68716 0.04816 0.0525858 0.0481537 0.0565135 0.0478443
125 613 0.16654 0.204151 1.60687 0.23091 0.510513 3.44481 8.21261 3.44648 5.00563 nan 0.0731713 0.239121 0.0731936 0.108222 -nan
126 640 0.149793 0.216431 1.56728 0.095583 0.377475 2.13257 2.25081 2.13258 1.453 2.18686 0.0348136 0.0368215 0.0348154 0.01567 0.0336665
127 934 0.212883 0.324709 3.03747 0.257179 0.768881 0.73805 0.733562 0.738195 0.933615 0.737777 0.0226487 0.0237508 0.0226419 0.0352538 0.02242
128 629 0.155008 0.217164 1.3508 0.100366 0.391968 1.19476 0.843809 1.19489 0.523701 1.22847 0.0263016 0.0204168 0.0262975 0.0184176 0.0214741
129 672 0.156757 0.223256 1.87842 0.100196 0.552999 1.97148 1.99039 1.97087 1.83393 6.49415 0.0263415 0.0229234 0.0263257 0.0211932 0.231008
130 861 0.177312 0.38645 2.30816 0.112176 0.487503 0.863953 0.915525 0.863713 0.937121 0.8655 0.0147207 0.0152456 0.0147132 0.02054 0.0147417
131 1078 0.202599 0.378664 2.98578 0.176886 0.618081 0.825554 0.791457 0.825398 0.799676 0.825383 0.022571 0.021351 0.0225676 0.021657 0.0225432
132 977 0.195612 0.324652 2.43942 0.120992 0.709589 0.799699 0.77826 0.799631 0.748733 0.795549 0.0248054 0.0245546 0.0248038 0.0236143 0.0246713
133 997 0.190105 0.402229 2.5904 0.124901 0.555617 0.992558 0.93191 0.992203 0.654633 1.00395 0.0214938 0.0202922 0.021486 0.0163896 0.0215894
134 712 0.190704 0.229396 1.65097 0.114766 0.424561 2.20066 1.09627 2.2014 3.34446 2.01195 0.0415887 0.0302973 0.041605 0.0780935 0.0396655
135 724 0.165349 0.252571 1.56036 0.105023 0.438687 2.80446 3.2459 2.80454 2.76218 2.58592 0.0499671 0.0736113 0.0499686 0.0509364 0.047924
136 853 0.23152 0.313436 2.23296 0.144141 0.513032 1.36347 1.59287 1.36468 2.37777 40.2377 0.0332938 0.0296632 0.0332982 0.04634 3.04272
137 866 0.164174 0.313091 2.92939 0.112111 0.559011 1.14589 1.10401 1.14579 1.2249 1.13675 0.0213278 0.0192058 0.0213273 0.0234363 0.0209114
138 758 0.298505 0.325593 2.12682 0.121081 0.459666 2.4376 1.25721 2.43823 3.44422 2.20689 0.0515652 0.0591415 0.0515803 0.0848246 0.0404098
139 756 0.17179 0.269525 1.82374 0.105554 0.457548 0.981326 2.10013 0.980296 2.29219 1.01593 0.0355635 0.047851 0.0355496 0.0623727 0.0370476
140 974 0.221607 0.349355 2.89857 0.220831 0.552178 0.2968 0.592106 0.29734 0.579906 0.305608 0.022173 0.0412763 0.0221715 0.0361592 0.0223097
141 939 0.180064 0.298664 2.31387 0.11632 0.534198 0.292119 0.278039 0.292013 0.371518 0.290749 0.0259599 0.0274279 0.0259589 0.0261598 0.0256887
142 931 0.179427 0.298753 2.32557 0.118015 0.525221 1.47047 1.36658 1.47052 1.56797 1.46198 0.0288832 0.0305417 0.0288802 0.0317704 0.0287829
143 955 0.181472 0.298723 2.34773 0.120117 0.533916 1.0638 0.973987 1.06358 1.27198 1.05032 0.031986 0.0305006 0.0319815 0.0313562 0.0317274
144 897 0.204314 0.283472 2.52008 0.12225 0.519657 0.621984 0.671669 0.622272 1.51345 0.585558 0.0407427 0.0375583 0.0407462 0.0464958 0.038799
145 879 0.168323 0.311287 2.21714 0.110877 0.614698 0.324453 0.447045 0.324231 0.448373 0.319992 0.0300247 0.0340235 0.0300206 0.0318165 0.0297764
146 705 0.162187 0.245173 1.85249 0.199816 0.969959 0.507537 0.573399 0.507664 1.2834 0.501631 0.0381649 0.0309289 0.038162 0.0336399 0.0380347
147 869 0.214495 0.446199 2.63447 0.118267 0.508609 1.55591 1.32393 1.55602 0.468131 1.60228 0.0424486 0.0391865 0.0424482 0.0328196 0.0416062
148 800 0.277723 0.293393 1.63754 0.106583 0.475965 0.710987 0.713099 0.711543 0.620889 0.780444 0.0349062 0.0326843 0.0349263 0.0137932 0.0339149
149 833 0.166606 0.317106 1.77568 0.114211 0.506584 0.606264 0.742355 0.606062 1.42218 0.61503 0.0252483 0.0383895 0.0252529 0.0408249 0.0241856
150 523 0.122351 0.180988 1.10686 0.078687 0.249504 1.96435 2.1086 1.96438 2.48412 1.96001 0.0259012 0.0297879 0.0259031 0.0303165 0.0258805
151 449 0.105674 0.173238 1.0022 0.076652 0.220857 3.335 3.03962 3.33512 4.52084 3.32487 0.0655858 0.057199 0.0655847 0.105373 0.0645293
152 751 0.142539 0.243248 1.58613 0.127519 0.511608 0.994767 0.958896 0.995042 1.17354 0.967044 0.0131753 0.0175715 0.0131834 0.00961107 0.0123144
153 367 0.10368 0.146805 2.38756 0.319853 0.359805 3.10759 5.63545 3.10958 5.1618 45.1061 0.0479641 0.148562 0.0479865 0.162215 4.40079
154 432 0.181652 0.297842 1.56008 0.07554 0.329689 3.01061 3.16835 3.01063 3.21555 3.01026 0.0540734 0.0605662 0.054072 0.059804 0.054059
155 705 0.201259 0.285741 2.1723 0.133331 0.607468 2.39049 1.29835 2.39074 2.44793 0.84271 0.0695715 0.081882 0.0695727 0.0709818 0.0833365
156 606 0.193826 0.244102 1.73089 0.118711 0.36545 1.97328 1.59767 1.97331 3.35676 6.8801 0.0550538 0.0749014 0.0550498 0.115148 0.893514
157 705 0.227807 0.318983 1.78903 0.112907 0.441015 2.72124 2.06004 2.7214 3.01109 2.61755 0.0507131 0.0468892 0.0507152 0.0731066 0.049665
158 466 0.128612 0.170776 1.03334 0.099465 0.228288 21.9667 1.67 2.16172 3.71494 2.18527 1.30218 0.0669336 0.0822994 0.135743 0.0590063
159 998 0.245378 0.366103 2.95726 0.129122 0.549416 0.857818 0.628399 0.857767 0.418387 0.942633 0.0306951 0.0468162 0.0306998 0.0308446 0.0241623
160 984 0.229643 0.392878 2.6272 0.123526 0.623938 0.422318 0.419589 0.422115 0.362492 0.415954 0.0229726 0.0209179 0.022966 0.0225987 0.022018
161 923 0.180929 0.557326 2.95664 0.11915 0.5336 0.484625 0.480045 0.484746 0.846172 0.459776 0.0317699 0.0297666 0.0317645 0.0407782 0.0318537
162 568 0.133591 0.196274 1.1667 0.085717 0.34265 1.0726 0.841826 1.07369 0.892526 1.17165 0.0397197 0.0470624 0.0396977 0.0581829 0.0214342
163 604 0.211632 0.221497 1.34815 0.102922 0.28621 1.76291 2.16317 1.76261 1.53289 2.00339 0.0338226 0.0290254 0.0338244 0.0707736 0.027109
