Frame N BAPnP_Time EPnP_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R SQPnP_R CPnP_R BAPnP_t EPnP_t SQPnP_t CPnP_t
96 783 0.150534 2.72728 0.101471 0.462807 0.58971 0.589662 0.593988 0.589378 0.00697433 0.00697247 0.00603996 0.00694676
97 417 0.115286 1.16451 0.116855 0.277304 2.71808 2.71754 1.47104 2.66558 0.0777791 0.0777763 0.0436085 0.0690059
98 467 0.153465 1.6815 0.112159 0.365818 1.09886 1.09881 1.35833 1.03916 0.0277855 0.0277777 0.0247815 0.0224338
99 682 0.164836 2.47275 0.19343 0.476154 0.686056 0.685988 0.724709 0.683773 0.00719338 0.00719669 0.00792967 0.00706124
100 832 0.1637 2.4678 0.11187 0.498456 0.612264 0.612249 0.652169 0.611747 0.00866819 0.00866621 0.0086029 0.00865791
101 607 0.201104 1.74822 0.106231 0.355124 0.76675 0.766711 2.05834 1.20972 0.0235704 0.0235736 0.0529664 0.029473
102 602 0.153576 1.99595 0.090818 0.349188 1.69452 1.69466 1.90496 1.60666 0.030936 0.0309383 0.0368157 0.0366374
103 458 0.126212 0.977458 0.126837 0.275584 0.845916 0.846593 4.70615 nan 0.0500736 0.0500789 0.117079 -nan
104 651 0.150041 1.77923 0.095634 0.633155 1.02035 1.0205 0.990502 1.01609 0.0178056 0.0178029 0.0356219 0.015234
105 648 0.134376 1.88167 0.096424 0.390294 1.70043 1.70008 2.05369 1.72161 0.0347511 0.0347517 0.0467373 0.0356541
106 717 0.143769 2.11574 0.096861 0.769456 1.87104 1.87115 1.85544 1.86378 0.0486358 0.048641 0.0470816 0.048683
107 423 0.100082 1.07478 0.121852 0.206066 2.00611 2.00711 4.9134 1.3947 0.0619662 0.0619795 0.110588 0.186552
108 358 0.09804 0.968329 0.135323 0.176229 89.1831 1.76706 4.05743 nan 1.03972 0.0602319 0.10887 -nan
109 504 0.116071 1.08971 0.089905 0.26028 3.95128 3.95231 3.11808 3.82318 0.0841717 0.0841924 0.0797766 0.0826215
110 646 0.147304 2.03004 0.109849 0.375315 2.46047 2.46153 2.34923 3.21056 0.053509 0.0535232 0.0401559 0.0297532
111 725 0.170852 2.49688 0.10336 0.42547 1.99705 1.99721 1.2859 2.08058 0.0322399 0.0322413 0.0206626 0.0262614
